Name,Price,Rating,Stars
تحقّق من صفحة كل منتج من أجل خيارات الشراء الأخرى.,,تحقّق من صفحة كل منتج من أجل خيارات الشراء الأخرى.,
هاتف ذكي ريلمي 11 ثنائي شرائح الاتصال، الجيل الرابع ال تي اي، ذاكرة رام 8 جيجابايت، ذاكرة روم 256 جيجابايت - اسود/دارك جلوري,"9,490.‎",24,3.8 من 5 نجوم
موبايل ريلمي 11 ثنائي شرائح الاتصال، الجيل الخامس ال تي اي، ذاكرة رام 8 جيجابايت، ذاكرة ROM 256 جيجابايت، لون ذهبي جلوري,"11,299.‎",65,4.1 من 5 نجوم
موبايل ريدمي نوت 11 بشريحتين اتصال، 4G LTE، رام 4 جيجابايت، وروم 128 جيجابايت، ازرق,"7,499.‎","8,018",4.7 من 5 نجوم
,,,
موبايل سمارت سامسونج جالاكسي A55 الجيل الخامس 5G، نظام أندرويد، ثنائي شرائح الاتصال، ذاكرة رام 8 جيجابايت، ذاكرة تخزين 256 جيجابايت، اوسام نيفي، كحلي,"17,999.‎",137,4.0 من 5 نجوم
جراب مغناطيسي شفاف من بايوسوو لموبايل آيفون 11 ب ماج سيف للشحن اللاسلكي حماية مضاد للاصفرار سيليكون ناعم وبولي يوريثين مقاوم للحرارة بمغناطيسات متوافق مع جميع اكسسوارات,89.‎,575,4.1 من 5 نجوم
موبايل سمارت سامسونج جالاكسي A55 الجيل الخامس 5G، نظام أندرويد، ثنائي شرائح الاتصال، ذاكرة رام 8 جيجابايت، ذاكرة تخزين 256 جيجابايت، اوسام ايس بلو,"17,999.‎",137,4.0 من 5 نجوم
جهاز شاومي ريدمي باد SE واي فاي 11 بوصة FHD+ معدل تحديث 90 هرتز، بشريحتين سناب دراجون 680، ذاكرة RAM 8GB ROM 256GB، مكبرات صوت رباعية مع دولبي اتموس، بلوتوث 5.3 8MP، رمادي جرافيت,"9,888.‎",479,4.7 من 5 نجوم
ريلمي 11 برو 5G (بيج صن رايز ذاكرة رام 8GB تخزين 256GB)شاشة منحنية 120 هرتزكاميرا برولايت 100 ميجابكس واتذاكرة رام ديناميكية 12 جيجابايتتصميم ممتاز من الجلد النباتي بشريحة واحدة أحادي,"14,999.‎",618,4.1 من 5 نجوم
موبايل سامسونج جالاكسي A25 شبكة الجيل الخامس 5G بنظام اندرويد بشريحتين اتصال وذاكرة تخزين 128 جيجا وذاكرة رام سعة 6 جيجا، أسود,"8,599.‎",32,3.9 من 5 نجوم
موبايل بوكو C65 الجيل الرابع ال تي اي 8 جيجابايت RAM + تخزين 256 جيجابايت، كاميرا ثلاثية 50 ميجابكسل 6.74 بوصة، ثماني النواة، أسود، بشريحتين,"6,820.‎",89,4.5 من 5 نجوم
,,,
"ريلمي جوال C53 ثنائي شرائح الاتصال بذاكرة روم 256 جيجا وذاكرة رام 8 جيجا الجيل الرابع لون اسود قوي - اصدار الشرق الاوسط , AH5523، ريلمي سي 53","6,999.‎",55,3.7 من 5 نجوم
جراب سورفي من السيليكون متوافق مع ايفون 11 مقاس 6.1 بوصة ، موبايل السائل بتصميم سماكة لكامل الجسم ( بطانة الالياف الدقيقة ) لموبايل 2019 اسود حافظة,67.‎,475,4.2 من 5 نجوم
دلـع موبايلك جراب شفاف لموبايل ايفون 11 6.1 بوصة مع واقي عدسة كاميرا مدمج، غطاء حماية رفيع فاخر من البولي يوريثين الحراري، حافظة شفافة للنساء والفتيات والرجال - ازرق سييرا,98.‎,5,3.8 من 5 نجوم
موبايل سمارت سامسونج جالاكسي A55 الجيل الخامس 5G، نظام أندرويد، ثنائي شرائح الاتصال، ذاكرة رام 8 جيجابايت، ذاكرة تخزين 256 جيجابايت، اوسام ليمون,"17,999.‎",137,4.0 من 5 نجوم
موبايل ريدمي نوت 12 ثنائي شرائح الاتصال من شاومي بذاكرة RAM 4 جيجابايت وذاكرة ROM 128 جيجابايت (6.67 بوصة) (4G LTE) - (اونيكس جراي)، رمادي,"5,999.‎","24,248",4.2 من 5 نجوم
موبايل سمارت سامسونج جالاكسي A55 الجيل الخامس 5G، نظام أندرويد، ثنائي شرائح الاتصال، ذاكرة رام 8 جيجابايت، ذاكرة تخزين 128 جيجابايت، اوسام ليمون,"16,799.‎",80,4.3 من 5 نجوم
جراب متوافق مع موبايل ايفون 11 (6.1 بوصة) من دلع موبايلك، جراب سيليكون سائل، غطاء واق لكامل الهيكل، مضاد للصدمات، جراب موبايل نحيف، مع بطانة مايكروفايبر ناعمة مضادة للخدش (اسود),111.‎,4,3.6 من 5 نجوم
شاشة حماية للخصوصية باطار اسود لايفون 11 من 9 اتش زجاج,62.‎,68,3.7 من 5 نجوم
موبايل ريدمي 12 هايبرد بشريحتين اتصال وذاكرة Ram سعة 8 جيجابايت وذاكرة ROM سعة 256 جيجابايت (6.79 بوصة) (4G LTE) - (أزرق سماوي),"7,490.‎",50,4.1 من 5 نجوم
جراب حماية بولي يوريثين حراري رفيع شفاف عالي الدقة ممتص للصدمات ومضاد للخدوش بجهة خلفية بولي كربونات لموبايل ايفون 11 (6.1 بوصة),46.‎,585,3.9 من 5 نجوم
موبايل سمارت سامسونج جالاكسي A55 الجيل الخامس 5G، نظام أندرويد، ثنائي شرائح الاتصال، ذاكرة رام 8 جيجابايت، ذاكرة تخزين 128 جيجابايت، اوسام نيفي، كحلي,"16,799.‎",80,4.3 من 5 نجوم
موبايل اوبو A76 ثنائي شرائح الاتصال بذاكرة RAM 6 جيجابايت وذاكرة روم 128 جيجابايت (6.56 وصة) (4G) - (أزرق فاتح) (إصدار عالمي),"8,799.‎",3,5.0 من 5 نجوم
جراب حماية من السيليكون والبولي يوريثين الحراري ببطانة من المايكروفايبر مع حماية للكاميرا لموبايل ابل ايفون 11 6.1 بوصة (احمر نبيذي),140.‎,,
